id,alias
BlpKooPnKqKV6uuw-Q79yQ,wasatch-ayurveda-and-yoga-salt-lake-city
xo79B7SHpD7vrv2nwWhD8g,centered-city-yoga-salt-lake-city
r-xqdtxCVDrR7MBH43jkNw,x365-fitness-salt-lake-city-2
KAcsFyJNH2N7m4yl9i6EYA,f45-training-sugarhouse-salt-lake-city-3
claJBPHhTbu7rmy79_zpsA,yogasix-sugarhouse-salt-lake-city
z2T1R9cLqkiGSRjJd9FP6g,santo-sattva-salt-lake-city
3oqOtvDs6OmS3FN48CIUgA,salt-lake-lagree-salt-lake-city
sBpkPsURiiHuZ7cxQuo2CA,hotworx-north-salt-lake-north-salt-lake-2
QX6Cmu-P5cYhgxCyW__Ruw,kona-karate-centerville-2
YpqL_tzI_-uGBoN-C470JQ,total-health-and-fitness-centerville
X8Pbm_LAJbi4rJlYCdvRVQ,lift-at-station-park-farmington
KosdD_81--q4Eb1ryLCXwg,crossfit-north-salt-lake-centerville
ygiIij2FiQAbUGECNOB7ww,f45-training-farmington-farmington
KyYOxUHLbR8Gt_kdFq8VYg,
n4-S8Cc1G7avihJUR5B2WQ,
l8eK0RrkwR8jCcy6OlptwQ,
YASJAGiFZJ47XAvhfqjgrA,shauntea-salt-lake-city
PbY2KtilNODHtzegTiPJyw,
0HvbPQ2_U1hXwMLo3kuKjg,the-little-gym-of-farmington-farmington
_lA-ErA_-qYh9jijPwB5jA,hotworx-farmington-farmington
5rB6xZ-l4rJR4pQEqjcndQ,three-birds-reiki-and-healing-fruit-heights
81ErMxK-Io7A3IfMH0jicw,bodybar-pilates-farmington
-RXc7XYbiAFfUXWGJSnirA,rockwell-crossfit-woods-cross
LMc5bzn5sbTSxbRsXo70qg,
VsQwPX8pFJ-l21T23hIFMg,farmington-gymnasium-farmington-2
XgBAc6CdxIyeLvTTYVds-w,
C8B_DvCCVn3geIuzDhr6mA,
KY0ZuiTL6efChRD7EzOQIQ,
gR_gDuapYZyeOjDWX5H5KQ,
HHNAuRWdMQPPlvcsUn2eLA,
EEqZ_y5pUSOdp106rhnWrA,
7jIqKC_PpEVPL-lJ1p2v_Q,prolific-fitness-24-7-clearfield-3
QIqLgzyYeu2c4jkaRfS4jg,anytime-fitness-clinton-4
N49gNMmoG89mHRaPCmQH8Q,caique-gracie-brazilian-jiu-jitsu-utah-clearfield-2
BxLWVUotIbpV2TjjCZODSw,strike-boxing-and-fitness-club-clearfield
S4jHivvnGMkGt12Uax3pqg,evolution-fitness-and-personal-training-layton
