name,zip_code,latitude,longitude,rating,review_count,category,has_online_services,distance,total_pop,median_income,bachelors_degrees,median_age,pct_bachelors
Physiques Finest,84302,41.49472,-112.01335,2.4,8,gyms,0,69385.19074607549,26711.0,75247.0,3618.0,34.3,13.544981468308936
Southwick Black Belt Academy,83201,42.86660808122788,-112.4458364,0.0,0,chinesemartialarts,0,134729.27578116825,,,,,
Crush Fitness,83263,42.10770623935538,-111.8773688,0.0,0,kickboxing,0,43516.569063422445,,,,,
Yoga Jos Studio,84414,41.2967834472656,-111.968307495117,0.0,0,yoga,0,84021.02137695401,33288.0,108345.0,5251.0,33.3,15.774453256428744
Rocky Mountain Pilates,83201,42.884657,-112.449844,0.0,0,pilates,0,136484.97311678113,,,,,
Richmond Kenpo Karate,84333,41.92314542745119,-111.80747144687992,0.0,0,karate,0,32861.43809055912,3095.0,94955.0,404.0,35.4,13.053311793214863
Ving Tsun Kung Fu Academy,84321,41.7424351468,-111.834074892,0.0,0,chinesemartialarts,0,40653.98713391415,49811.0,66262.0,5814.0,23.8,11.672120615928208
Aloha Wellness Studio,84404,41.27258,-111.97986,0.0,0,massage_therapy,0,86794.91013706665,65875.0,81917.0,6367.0,34.0,9.66527514231499
Planet Fitness,83202,42.91040913277077,-112.47015785502671,2.5,8,gyms,0,139756.7913566735,,,,,
Bear River Strength & Conditioning,84337,41.710679,-112.186628,0.0,0,gyms,0,68666.28109716513,15452.0,73854.0,1179.0,29.3,7.63008024851152
Yoga Utahpia,84310,41.32059105417237,-111.8427177,0.0,0,yoga,0,76387.08111718441,5002.0,143137.0,1005.0,39.7,20.091963214714113
Master Lu's Health Center,84115,40.7005566,-111.888564,3.5,17,martialarts,0,45953.44649221174,28411.0,61505.0,4155.0,33.9,14.62461722572243
Brickyard Boxing and Conditioning,84106,40.70044961088551,-111.85640674629592,5.0,2,boxing,0,44084.20292976137,33791.0,94452.0,8406.0,35.7,24.876446391050873
VASA Fitness - Brickyard,84106,40.701455,-111.858156,2.0,138,gyms,0,44102.08297240927,33791.0,94452.0,8406.0,35.7,24.876446391050873
Body Temple Athletics,84115,40.6941493,-111.8916747,4.4,7,healthtrainers,0,46643.36863376072,28411.0,61505.0,4155.0,33.9,14.62461722572243
Warrior Strength,84115,40.6900604,-111.8975213,5.0,3,gyms,0,47313.26503748529,28411.0,61505.0,4155.0,33.9,14.62461722572243
Gym Jones,84115,40.69928,-111.88291,4.0,4,gyms,0,45724.017789668535,28411.0,61505.0,4155.0,33.9,14.62461722572243
Tidal Yoga,84106,40.70396423,-111.85955048,5.0,2,yoga,0,43163.465779482845,33791.0,94452.0,8406.0,35.7,24.876446391050873
Planet Fitness,84106,40.7006437,-111.87337131396464,3.2,55,gyms,0,45048.730479738726,33791.0,94452.0,8406.0,35.7,24.876446391050873
HOTWORX,84124,40.68602,-111.79427,5.0,2,yoga,0,42009.88882186709,22992.0,117500.0,5135.0,39.8,22.333855254001392
Master Kwon'S  World Class After School,84124,40.68674,-111.84478,5.0,2,martialarts,0,44558.97517548201,22992.0,117500.0,5135.0,39.8,22.333855254001392
Continuum,84109,40.69569,-111.82463,5.0,1,yoga,0,42698.29835610062,25879.0,136823.0,6598.0,35.8,25.49557556319796
Muv Better Pilates & Training,84106,40.69959789696845,-111.85909189770224,5.0,1,gyms,0,44307.23687925574,33791.0,94452.0,8406.0,35.7,24.876446391050873
Rolf Structural Integration - Salt Lake,84106,40.700149,-111.847606,4.0,2,massage,0,43608.41966323617,33791.0,94452.0,8406.0,35.7,24.876446391050873
