id,name,zip_code,city,latitude,longitude,rating,review_count,category,distance,is_closed,has_hours,has_transactions,price,total_pop,median_income,median_age,median_home_value,total_households,pct_bachelors,pct_prime_gym_age,competition_1km,competition_3km,competition_5km,is_thriving,log_review_count,success_score,gyms_in_zip,market_gap
OfXCjwIX9tOUiRwFwVZefQ,Eclectic Wellness,84094,Sandy,40.5799,-111.8665,5.0,1,massage_therapy,,0,1,0,0,27507.0,106732.0,36.5,528700.0,9714.0,19.111498891191335,21.372741483985894,7,20,43,,0.6931471805599453,0.5640951693284909,12,45223.07692307692
Ox62cSG4ZmrtLOEf_JP3Bw,Hidden Valley Mixed Martial Arts,84070,Sandy,40.57209,-111.87291,5.0,1,martialarts,,0,1,0,0,30472.0,78991.0,32.3,461900.0,11540.0,14.882515095825678,23.601995274350223,3,20,46,,0.6931471805599453,0.5640951693284909,15,44950.0
ZZppFsyHkaAc1ipKI6HgGw,Unified Krav Maga,84070,Sandy,40.57928,-111.90779,3.4,5,selfdefenseclasses,,0,1,0,0,30472.0,78991.0,32.3,461900.0,11540.0,14.882515095825678,23.601995274350223,3,19,51,,1.791759469228055,0.5056836091915219,15,44950.0
CcnfpHtTgnXvq1VOUXI7gA,Bobby Lawrence Karate,84094,Sandy,40.5818581,-111.8532317,4.1,7,karate,,0,1,0,0,27507.0,106732.0,36.5,528700.0,9714.0,19.111498891191335,21.372741483985894,3,25,46,,2.0794415416798357,0.6022855079854728,12,45223.07692307692
nPenHlkKoqORk75ATAXY0A,Club Pilates,84093,Sandy,40.581997,-111.831427,4.6,5,yoga,,0,1,0,0,23871.0,138556.0,40.8,698900.0,7913.0,22.872942063591807,13.430522391185958,3,18,41,,1.791759469228055,0.6256836091915219,8,35622.22222222222
GEORDxp0T9h5jFpT43k5Jg,Koko Fit Club,84093,Sandy,40.5803506,-111.8389302,5.0,3,gyms,,0,1,0,0,23871.0,138556.0,40.8,698900.0,7913.0,22.872942063591807,13.430522391185958,3,20,41,,1.3862943611198906,0.6281903386569818,8,35622.22222222222
vliexWPpZuBcrbHuRQZKTA,Parkour Utah,84070,Sandy,40.57709383142523,-111.8890377000256,0.0,0,gyms,480.44961133969827,0,0,0,0,30472.0,78991.0,32.3,461900.0,11540.0,14.882515095825678,23.601995274350223,0,19,51,,0.0,0.0,15,44950.0
Jya0MrfpTuLFaw0pm74i0Q,Impact Martial Arts,84095,west Jordan,40.58737765595745,-111.922245173308,5.0,2,martialarts,,0,1,0,0,38532.0,126968.0,39.1,718200.0,13326.0,19.50586525485311,16.529118654624728,1,18,48,,1.0986122886681098,0.601588439863031,20,30328.571428571428
aWyAUDzdQgKYdUiJsKz4jQ,Dialed In Fitness,84093,Sandy,40.5935856,-111.832256,5.0,2,gyms,,0,1,0,0,23871.0,138556.0,40.8,698900.0,7913.0,22.872942063591807,13.430522391185958,3,19,43,,1.0986122886681098,0.601588439863031,8,35622.22222222222
-VmnLddzTnWpwWFrGYEWQg,Red Tree Yoga Studio,84074,Tooele,40.550074,-112.296273,5.0,2,yoga,,0,1,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,4,9,10,,1.0986122886681098,0.601588439863031,15,78093.75
UXfbvSJkBCKyhB3UQOr4oQ,VASA Fitness - Tooele,84074,Tooele,40.5353574,-112.2982785,2.7,33,gyms,,0,1,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,3,8,10,0.0,3.5263605246161616,0.5960817922623463,15,78093.75
j3oBo69xuSFOlBn-u8pDMg,HOTWORX - Tooele,84074,Tooele,40.5501191,-112.2962478,0.0,0,yoga,1640.330497137367,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,4,9,10,,0.0,0.0,15,78093.75
XvZ9EG7JJuwG2CrSSPh85g,Graceful Serenity,84074,Tooele,40.5451475,-112.2981451,0.0,0,meditationcenters,2181.291107211752,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,3,8,10,,0.0,0.0,15,78093.75
oD0VL1dOrhqe9xgShLBVNw,Flourish Wellness Consulting,84074,Tooele,40.554468927465706,-112.2997349,0.0,0,c_and_mh,1212.8619748172136,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,3,9,10,,0.0,0.0,15,78093.75
A3zE1flneJGdJPjk2jU0Iw,Anytime Fitness,84074,Tooele,40.535,-112.29949,1.8,4,gyms,,0,1,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,3,8,10,,1.6094379124341003,0.3288243744103859,15,78093.75
3MJ-hm5QMcOQxd75-h7kgg,Radiance Yoga,84074,Tooele,40.5725129,-112.293692,0.0,0,yoga,862.9326393776905,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,0,4,10,,0.0,0.0,15,78093.75
JHhe1kFWKlnHdvRJmBFc2w,Tooele Martial Arts Academy,84074,Tooele,40.53154576456471,-112.33899907374278,0.0,0,kickboxing,5226.869522544596,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,0,0,9,,0.0,0.0,15,78093.75
4rIsKBQ2Q-naRzgliVmrhQ,Korean Tigers Taekwondo,84074,Tooele,40.5553066,-112.2972956,0.0,0,taekwondo,1089.9256233630406,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,3,9,10,,0.0,0.0,15,78093.75
dcLTi_KJjmQgg_UkFIZX3Q,InnerWay Martial Arts,84074,Tooele,40.5408173,-112.2982254,0.0,0,martialarts,2679.2296617814004,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,3,8,10,,0.0,0.0,15,78093.75
6x_5SAyNOSj0gaGVQ2TAKg,Sweat Fitness Center,84074,Tooele,40.5299339294434,-112.299339294434,0.0,0,gyms,3898.174235096784,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,2,8,10,,0.0,0.0,15,78093.75
-fPEXrViy2HrADU3I-1ceQ,Tigers Tae Kwondo,84074,Tooele,40.6013108,-112.2944014,0.0,0,taekwondo,4070.986957472973,0,0,0,0,59706.0,108341.0,32.4,422600.0,18324.0,9.198405520383211,20.927544970354738,0,0,3,,0.0,0.0,15,78093.75
