category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,is_thriving,id,name,zip_code,latitude,longitude
general_gym,0,91115.0,382600.0,33.0,10.398515234314583,23.570655255967417,38794.0,6,12,65314.28571428572,0.3351033664999742,7008.846153846154,0.0,7kSEJUVtojuYwtj2HHkVZg,EōS Fitness,84067,41.158793,-112.027924
general_gym,0,80758.0,439900.0,31.5,11.752893195039643,26.675361778771503,48303.0,8,17,64425.0,0.39335030950458566,4486.555555555556,0.0,wfwZwztjPq31dNhpIam7xg,EōS Fitness,84401,41.225293,-111.971952
general_gym,0,128910.0,784800.0,34.3,20.65316838378615,19.990850869167428,50278.0,7,12,43699.99999999999,0.43756712677513027,9916.153846153846,0.0,_aP3X7uI9cFU_fJ12wovkw,Treehouse Athletic Club,84020,40.5292015785177,-111.859260540475
personal_training,0,128910.0,784800.0,34.3,20.65316838378615,19.990850869167428,50278.0,4,12,43699.99999999999,0.43756712677513027,9916.153846153846,1.0,kEO0P9hGj5plK9JNecqJKw,Orangetheory Fitness Draper,84020,40.50095,-111.88758
general_gym,0,128910.0,784800.0,34.3,20.65316838378615,19.990850869167428,50278.0,4,16,43699.99999999999,0.43756712677513027,7582.941176470588,0.0,y0JIMu87lLswqQePQ1jWBQ,VASA Fitness - Draper,84020,40.531071,-111.887938
general_gym,0,134375.0,636700.0,34.1,18.893822148928074,14.288976278066723,39415.0,4,21,28160.0,0.48204998097171126,6107.954545454545,0.0,aMbkXq6KhKiNwFzHau6RRg,VASA Fitness - Kaysville,84037,41.03847,-111.94085
mind_body,0,101551.0,567900.0,35.4,25.624059296282624,29.804333626785564,35213.0,5,35,28364.864864864863,1.0223497003947406,2820.8611111111113,1.0,27F77805UbpazzRKgDIRtA,Ritual Hot Yoga - Salt Lake City,84106,40.69236230398099,-111.8487055523654
climbing_outdoor,0,75571.0,582000.0,23.4,14.24385442995504,44.41138971525712,44707.0,2,21,124093.75,0.33551792784127765,3435.0454545454545,1.0,oy1xdFEQpPiKY3Excos6bw,The Quarry,84604,40.2649049,-111.6697406
general_gym,0,101551.0,567900.0,35.4,25.624059296282624,29.804333626785564,35213.0,13,48,28364.864864864863,1.0223497003947406,2072.469387755102,1.0,dIWuc1S5uZQ9HDY2YvWgug,K Effect Training,84106,40.70291,-111.85916
mind_body,0,75571.0,582000.0,23.4,14.24385442995504,44.41138971525712,44707.0,3,11,124093.75,0.33551792784127765,6297.583333333333,1.0,KIGEwfvhL2djSJzEcIP1yQ,3B Yoga,84604,40.2985456,-111.6580047020616
