category_group,price,median_income,median_home_value,median_age,pct_bachelors,pct_prime_gym_age,total_pop,competition_1km,competition_3km,market_gap,gym_density_per_1k,income_per_competitor,success_score,id,name,zip_code,latitude,longitude
martial_arts,0,132601.0,746900.0,30.8,16.85082872928177,13.08317986494782,13032.0,0,7,28416.666666666668,0.38367096378146104,16575.125,0.6281903386569818,yh1wV4lL3Yvz5xYMvSj9AA,Infinity BJJ Utah,84664,40.137209,-111.597507
martial_arts,0,67207.0,403500.0,25.9,12.932261057841016,37.30900092793071,32330.0,0,2,301550.0,0.09279307145066502,22402.333333333332,0.0,VZtqakCBNm_bCNcJV7hXLw,Raw Training Facility,84601,40.2286142,-111.6786023
other,0,75571.0,582000.0,23.4,14.24385442995504,44.41138971525712,44707.0,2,20,124093.75,0.33551792784127765,3598.6190476190477,0.0,OKz_MncbVkaMOUJx8z1LIg,Lunar Healing Bodywork & Massage,84604,40.2631512,-111.6654160842122
general_gym,0,52811.0,443600.0,23.1,12.022975623423928,62.85514149621743,35690.0,0,9,280412.5,0.1961333706920706,5281.1,0.5640951693284909,YJIUYGFG87YIQQgeh749ug,Own It Fitness,84606,40.20263,-111.62494
personal_training,0,75571.0,582000.0,23.4,14.24385442995504,44.41138971525712,44707.0,4,18,124093.75,0.33551792784127765,3977.4210526315787,0.0,B7huHiZ-Cj0-zQ0qUorvLg,Leantrition,84604,40.27449,-111.65207
general_gym,0,75571.0,582000.0,23.4,14.24385442995504,44.41138971525712,44707.0,3,7,124093.75,0.33551792784127765,9446.375,0.0,vL1aUFZZb9slWWHBkgxtvg,Studio Physiques the Pilates Method,84604,40.3015899658203,-111.657707214355
general_gym,0,75571.0,582000.0,23.4,14.24385442995504,44.41138971525712,44707.0,4,18,124093.75,0.33551792784127765,3977.4210526315787,0.0,NLaJGOD8a9tOzfZANDzGsw,Canyon Springs Health & Fitness Center,84604,40.27472,-111.65208
personal_training,0,52811.0,443600.0,23.1,12.022975623423928,62.85514149621743,35690.0,1,4,280412.5,0.1961333706920706,10562.2,0.0,yW1RrQ0PdvwidkU9j7QTCQ,Pierce Personal Training,84606,40.21498,-111.62758
personal_training,0,52811.0,443600.0,23.1,12.022975623423928,62.85514149621743,35690.0,1,6,280412.5,0.1961333706920706,7544.428571428572,0.0,f1_P_SAmf27SKT_fJZ1b4g,Brand Athletics,84606,40.20945183336251,-111.6334841910431
personal_training,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,3,12,47611.11111111111,0.4695224680310437,6942.461538461538,0.5640951693284909,Qh3qt-6FzIFTCXZZ6Ma2jA,Postura,84663,40.1836054,-111.6096652
general_gym,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,1,13,47611.11111111111,0.4695224680310437,6446.571428571428,0.5597787785200129,aldwZMVddSl1JtmI5jEqMw,Anytime Fitness,84663,40.16147439025037,-111.5984023
martial_arts,0,52811.0,443600.0,23.1,12.022975623423928,62.85514149621743,35690.0,0,8,280412.5,0.1961333706920706,5867.888888888889,0.0,91G9Ok4OJD0RmrqdJ_D4MQ,Provo ATA Martial Arts,84606,40.2216,-111.63875
general_gym,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,1,15,47611.11111111111,0.4695224680310437,5640.75,0.501588439863031,cdlVO-M3jFubaCJRE2SYgQ,EōS Fitness,84663,40.1596186,-111.6281562
general_gym,0,90252.0,455800.0,28.7,14.914243102162567,23.669456182506146,36207.0,4,14,47611.11111111111,0.4695224680310437,6016.8,0.5640951693284909,bdN8pXg9zFUBYB9vNKaBmw,Elevated CrossFit,84663,40.1678925,-111.6102129
general_gym,0,52811.0,443600.0,23.1,12.022975623423928,62.85514149621743,35690.0,2,6,280412.5,0.1961333706920706,7544.428571428572,0.0,D5v23htiHxbFGUwJoOb_Vw,Beyond Fitness,84606,40.24009,-111.64295
personal_training,0,132601.0,746900.0,30.8,16.85082872928177,13.08317986494782,13032.0,1,4,28416.666666666668,0.38367096378146104,26520.2,0.0,LPeN9ovUHwkKzjaVnsmsPA,Ryan's Remedies Personal Training,84664,40.14158,-111.57536
general_gym,0,96999.0,459300.0,30.9,12.419076026166833,19.865776361725924,29503.0,2,5,83728.5714285714,0.20336914890011185,16166.5,0.5256836091915219,PKjr_LeCKAqvvxedqOPDLg,Total Fitness,84651,40.0432801897073,-111.733299342627
